year,social,technical,n,rho,p,sig
1,bus_factor_number,total_code_smells,208,-0.11194879044646576,0.1074233490987096,False
1,bus_factor_number,total_design_smells,208,-0.08526025061930355,0.22077817724622126,False
1,bus_factor_number,total_impl_smells,208,-0.11542916939651354,0.09686113536902999,False
1,commit_count,total_code_smells,208,0.4646999345422188,1.5405009852824715e-12,True
1,commit_count,total_design_smells,208,0.46266268406150457,1.9822093161795456e-12,True
1,commit_count,total_impl_smells,208,0.4358371232096405,4.711513695557718e-11,True
1,author_count,total_code_smells,208,0.20419617456200514,0.0030919333120283136,True
1,author_count,total_design_smells,208,0.1613383831148584,0.019906479627818968,True
1,author_count,total_impl_smells,208,0.21204138692461869,0.0021070384889870955,True
1,pr_count,total_code_smells,208,0.20253058034130705,0.003348392426697696,True
1,pr_count,total_design_smells,208,0.18033797906956062,0.009144510705802451,True
1,pr_count,total_impl_smells,208,0.2076572881337914,0.002615017071770612,True
1,issue_count,total_code_smells,208,0.20739643893438123,0.002648485552157342,True
1,issue_count,total_design_smells,208,0.21990036529943893,0.001415396958364897,True
1,issue_count,total_impl_smells,208,0.18319298388172164,0.008083145099433586,True
1,timezone_count,total_code_smells,208,0.08934695367821074,0.1993579237446162,False
1,timezone_count,total_design_smells,208,0.02790563206831911,0.6890730398130177,False
1,timezone_count,total_impl_smells,208,0.09962736039201867,0.15221484312353317,False
2,bus_factor_number,total_code_smells,178,-0.1650904645318252,0.02765139121421753,True
2,bus_factor_number,total_design_smells,178,-0.150367905958678,0.04513117841195743,True
2,bus_factor_number,total_impl_smells,178,-0.16999805404433668,0.023291665655977067,True
2,commit_count,total_code_smells,178,0.45040324013571226,2.823248895297166e-10,True
2,commit_count,total_design_smells,178,0.45869887179724217,1.202042378212578e-10,True
2,commit_count,total_impl_smells,178,0.42040455631335655,5.145730837614099e-09,True
2,author_count,total_code_smells,178,0.2483975193859317,0.000828052102730273,True
2,author_count,total_design_smells,178,0.22190871033559575,0.0029110249451553298,True
2,author_count,total_impl_smells,178,0.25356392155255864,0.0006375460526060643,True
2,pr_count,total_code_smells,178,0.2203770386656875,0.0031174765248429253,True
2,pr_count,total_design_smells,178,0.2072093502156663,0.0055163365073607525,True
2,pr_count,total_impl_smells,178,0.226564969248401,0.002357128133226166,True
2,issue_count,total_code_smells,178,0.21525489238537834,0.0039075553608104545,True
2,issue_count,total_design_smells,178,0.19712422941176777,0.00835526509608955,True
2,issue_count,total_impl_smells,178,0.20616860979163573,0.0057628406640411745,True
2,timezone_count,total_code_smells,178,0.09217534662330938,0.22105961733276805,False
2,timezone_count,total_design_smells,178,0.05207915061745872,0.4899451730170201,False
2,timezone_count,total_impl_smells,178,0.09160699128479564,0.22393238759294887,False
3,bus_factor_number,total_code_smells,161,-0.18416350758840683,0.019355909456238232,True
3,bus_factor_number,total_design_smells,161,-0.16926491891271112,0.03183235065779967,True
3,bus_factor_number,total_impl_smells,161,-0.17767704952547514,0.02414119515457204,True
3,commit_count,total_code_smells,161,0.4541802108026777,1.4357157151717958e-09,True
3,commit_count,total_design_smells,161,0.45592175788584516,1.2203406342160294e-09,True
3,commit_count,total_impl_smells,161,0.41709755843897917,3.710951463926054e-08,True
3,author_count,total_code_smells,161,0.2729736152219943,0.00045929741402421184,True
3,author_count,total_design_smells,161,0.24824140838002914,0.0014976481696297376,True
3,author_count,total_impl_smells,161,0.26516323103335415,0.0006753685120321374,True
3,pr_count,total_code_smells,161,0.22842001689460203,0.0035640487826167394,True
3,pr_count,total_design_smells,161,0.21698167186947687,0.0056965749931845115,True
3,pr_count,total_impl_smells,161,0.22908289401389495,0.0034660809782707707,True
3,issue_count,total_code_smells,161,0.17968020306066268,0.02256526022842251,True
3,issue_count,total_design_smells,161,0.17342142389534565,0.0278052607004957,True
3,issue_count,total_impl_smells,161,0.16333749342301376,0.038424599764763014,True
3,timezone_count,total_code_smells,161,0.13861153189485761,0.07950697496624756,False
3,timezone_count,total_design_smells,161,0.0969240897671858,0.22128128917309467,False
3,timezone_count,total_impl_smells,161,0.1295880589284937,0.10133993270155539,False
4,bus_factor_number,total_code_smells,134,-0.14292724452832753,0.0994611277423093,False
4,bus_factor_number,total_design_smells,134,-0.13794698714654693,0.11194745959895673,False
4,bus_factor_number,total_impl_smells,134,-0.13083229482003392,0.13186474214629593,False
4,commit_count,total_code_smells,134,0.4969645193823362,1.010628679780505e-09,True
4,commit_count,total_design_smells,134,0.5136594538600777,2.1951584375367077e-10,True
4,commit_count,total_impl_smells,134,0.4458681844586269,6.704541421994265e-08,True
4,author_count,total_code_smells,134,0.2744155525426527,0.001333563141642869,True
4,author_count,total_design_smells,134,0.26231231307141806,0.002199824745012287,True
4,author_count,total_impl_smells,134,0.2589703612958294,0.002515816352567402,True
4,pr_count,total_code_smells,134,0.1986731410159418,0.021377419894504916,True
4,pr_count,total_design_smells,134,0.16674733532971345,0.054146784629195935,False
4,pr_count,total_impl_smells,134,0.2053899723316161,0.017278553099638518,True
4,issue_count,total_code_smells,134,0.11523401292487188,0.18488793526279224,False
4,issue_count,total_design_smells,134,0.11804457609616285,0.17433128369691384,False
4,issue_count,total_impl_smells,134,0.0965843954573263,0.2669264798984072,False
4,timezone_count,total_code_smells,134,0.10996367204970586,0.20593029547003364,False
4,timezone_count,total_design_smells,134,0.08700492122319142,0.3174962890872985,False
4,timezone_count,total_impl_smells,134,0.0927765833409192,0.28633029808141647,False
5,bus_factor_number,total_code_smells,119,-0.15749255840853413,0.0871551337541846,False
5,bus_factor_number,total_design_smells,119,-0.1390796372589701,0.13142483434241808,False
5,bus_factor_number,total_impl_smells,119,-0.14768226286229236,0.10897434970715102,False
5,commit_count,total_code_smells,119,0.4481197034725736,3.2138264190048357e-07,True
5,commit_count,total_design_smells,119,0.4902154394364199,1.5235466694311312e-08,True
5,commit_count,total_impl_smells,119,0.3838065573003419,1.6410179156252222e-05,True
5,author_count,total_code_smells,119,0.28126268242344193,0.0019441665488329955,True
5,author_count,total_design_smells,119,0.268517875126706,0.0031501550948334514,True
5,author_count,total_impl_smells,119,0.26281188355622553,0.003881694395006861,True
5,pr_count,total_code_smells,119,0.14741399734625452,0.10962600031641827,False
5,pr_count,total_design_smells,119,0.1344830428918165,0.14478967816579005,False
5,pr_count,total_impl_smells,119,0.14864076180718117,0.10667071481641026,False
5,issue_count,total_code_smells,119,0.08495800441414199,0.3582722677810263,False
5,issue_count,total_design_smells,119,0.09663726369934593,0.29578728216608025,False
5,issue_count,total_impl_smells,119,0.06066894735743742,0.5121854664179418,False
5,timezone_count,total_code_smells,119,0.08458209623239875,0.36041068058783465,False
5,timezone_count,total_design_smells,119,0.08006841607319136,0.38670148834610074,False
5,timezone_count,total_impl_smells,119,0.059895139651360285,0.5175908426983629,False
